NazwaInstytucji,NrRozliczeniowy,Miejscowosc
Alior Bank Spółka Akcyjna,10600119,"Warszawa, ul. Łopuszańska 38D, 02-232"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201475,"Bydgoszcz, ul. Stary Port 1-3, 85-068"
Bank Polska Kasa Opieki Spółka Akcyjna,12406029,"Warszawa, ul. Towarowa 25, 00-869"
ING Bank Śląski Spółka Akcyjna,10501940,"Elbląg, ul. 12 Lutego 19, 82-300"
Powiatowy Bank Spółdzielczy w Tomaszowie Mazowieckim,89851027,"Będków, ul. Reymonta 6, 97-319"
Bank Millennium Spółka Akcyjna,11602244,"Gdańsk, ul. Wały Jagiellońskie 10/16, 80-887"
Bank Spółdzielczy w Miliczu,95821010,"Cieszków, pl. Rynek 6A, 56-330"
Bank Spółdzielczy w Baborowie,88660006,"Baborów, ul. Moniuszki 1, 48-120"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401299,"Warszawa, al. Jana Pawła II 25, 00-854"
Santander Bank Polska Spółka Akcyjna,10901362,"Poznań, pl. Wolności 15, 60-967"
Morgan Stanley Europe SE (Spółka Europejska) Oddział w Polsce,29400005,"Warszawa, ul. Wspólna 62, 00-684"
Bank Spółdzielczy w Krzywdzie,92031012,"Wola Mysłowska, Wola Mysłowska 57, 21-426"
Bank Spółdzielczy Czechowice-Dziedzice-Bestwina,84530002,"Czechowice-Dziedzice, ul. Słowackiego 14, 43-502"
Bank Polska Kasa Opieki Spółka Akcyjna,12402571,"Jarosław, pl. Mickiewicza 2, 37-500"
Zachodniopomorski Bank Spółdzielczy,93960007,"Szczecin, ul. Jagiellońska 97, 70-435"
Bank Polska Kasa Opieki Spółka Akcyjna,12405527,"Łódź, ul. Aleja T. Kościuszki 63, 90-514"
Bank Spółdzielczy w Sławnie,93171012,"Malechowo, Malechowo 80, 76-142"
Bank Spółdzielczy w Wolinie,93930000,"Wolin, ul. Gryfitów 10, 72-510"
Narodowy Bank Polski,10101339,"Lublin, ul. Chopina 6, 20-026"
Bank Spółdzielczy w Radzyniu Podlaskim,80461012,"Borki, ul. Spółdzielcza 46, 21-145"
Bank Spółdzielczy w Lubartowie,87071029,"Kamionka, ul. Lubartowska 5, 21-132"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201097,"Warszawa, ul. Marszałkowska 100/102, 00-026"
BNP Paribas Bank Polska Spółka Akcyjna,16001172,"Gliwice, ul. Zwycięstwa 30, 44-100"
BNP Paribas Bank Polska Spółka Akcyjna,17501080,"Białystok, ul. Branickiego 17A, 15-085"
Santander Bank Polska Spółka Akcyjna,15000073,"Warszawa, ul. Kasprzaka 2/8, 01-211"
Bank Spółdzielczy w Nowym Targu,88120005,"Nowy Targ, Rynek 11, 34-400"
Bank Spółdzielczy w Lubawie,88320001,"Lubawa, ul. Rzepnikowskiego 2, 14-260"
Bank Spółdzielczy w Ozorkowie,87860001,"Ozorków, Plac św. Jana Pawła II 6, 95-035"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203150,"Lublin, ul. Lipowa 4A, 20-027"
mBank Spółka Akcyjna,11401720,"Białystok, ul. Warszawska 59, 15-062"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200247,"Zielona Góra, ul. Powstańców Warszawy 7, 65-807"
Santander Bank Polska Spółka Akcyjna,10902141,"Brzeg, ul. Powstańców Śląskich 6, 49-300"
Bank Millennium Spółka Akcyjna,11600006,"Warszawa, ul. Stanisława Żaryna 2A, 02-593"
Bank Spółdzielczy w Pruszczu Pomorskim,81701018,"Rojewo, Rojewo 70, 88-111"
Bank Spółdzielczy w Krapkowicach,88840004,"Krapkowice, ul. Opolska 12, 47-300"
mBank Hipoteczny Spółka Akcyjna,21500000,"Warszawa, ul. Prosta 18, 00-850"
ABS Bank Spółdzielczy,81100000,"Andrychów, ul. Krakowska 112, 34-120"
mBank Spółka Akcyjna,11401645,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
Bank Spółdzielczy w Skoczowie,81260007,"Skoczów, ul. Objazdowa 10, 43-430"
Bank Polska Kasa Opieki Spółka Akcyjna,12403552,"Dębno, ul. Mickiewicza 34, 74-400"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203219,"Puławy, ul. Partyzantów 3, 24-100"
Santander Bank Polska Spółka Akcyjna,15001559,"Nowy Sącz, al. Wolności 6, 33-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12406117,"Warszawa, ul. Modlińska 199, 03-122"
Alior Bank Spółka Akcyjna,10600063,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Polska Kasa Opieki Spółka Akcyjna,12402861,"Łaskarzew, ul. Garwolińska 10, 08-450"
Bank Spółdzielczy w Lubartowie,87071045,"Abramów, ul. Szkolna 8A, 21-143"
Bank Spółdzielczy Ziemi Szczecińskiej,93871013,"Bielice, ul. Jana Pawła II 34D, 74-202"
VeloBank Spółka Akcyjna,15600000,"Katowice, ul. Uniwersytecka 18, 40-007"
Narodowy Bank Polski,10101270,"Kraków, ul. Basztowa 20, 30-960"
Bank Polska Kasa Opieki Spółka Akcyjna,12406713,"Polanica-Zdrój, ul. Zdrojowa 25, 57-320"
Bank Spółdzielczy w Bieczu,86271037,"Skołyszyn, Skołyszyn 250, 38-242"
Santander Bank Polska Spółka Akcyjna,15000060,"Warszawa, ul. Kasprzaka 2/8, 01-211"
Bank Spółdzielczy w Gogolinie,88830005,"Gogolin, ul. Strzelecka 13, 47-320"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200250,"Białystok, ul. Bolesława Chrobrego 2, 15-057"
mBank Spółka Akcyjna,11401632,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
Bank Polska Kasa Opieki Spółka Akcyjna,12401806,"Mielec, ul. Obrońców Pokoju 7, 39-300"
Łużycki Bank Spółdzielczy w Lubaniu,83920004,"Lubań, ul. Spółdzielcza 10, 59-800"
Bank Polska Kasa Opieki Spółka Akcyjna,12401907,"Stalowa Wola, ul. Wolności 17, 37-450"
BNP Paribas S.A. Oddział w Polsce ,23500002,"Warszawa, ul. Wronia 31, 00-846"
Bank Spółdzielczy w Gostyninie,90120004,"Gostynin, ul. Rynek 4/5, 09-500"
ING Bank Śląski Spółka Akcyjna,10500057,"Warszawa, ul. Puławska 2, 02-566"
Bank Polska Kasa Opieki Spółka Akcyjna,12406481,"Bydgoszcz, ul. Eugeniusza Kwiatkowskiego 2, 85-791"
Bank Millennium Spółka Akcyjna,14701025,"Wrocław, ul. św. Mikołaja 72, 50-126"
Bank Millennium Spółka Akcyjna,14701083,"Wrocław, ul. Świętego Mikołaja 72, 50-126"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204027,"Poznań, Aleje Karola Marcinkowskiego 13, 61-827"
Bank Spółdzielczy w Ruścu,92640009,"Rusiec, ul. Wieluńska 42, 97-438"
Bank Spółdzielczy w Garwolinie,92100008,"Garwolin, ul. Kościuszki 24, 08-400"
Bank Spółdzielczy w Tomaszowie Lubelskim,96391048,"Rachanie, ul. Cicha 2A, 22-640"
Bank Spółdzielczy w Siedlcach,92270004,"Mrozy, ul. Mickiewicza 33, 05-320"
Nadwarciański Bank Spółdzielczy w Działoszynie,92510009,"Działoszyn, ul. Piłsudskiego 21A, 98-355"
Spółdzielcza Kasa Oszczędnościowo-Kredytowa PROGRES,70560008,"Bielsko-Biała, ul. Cyniarska 11, 43-300"
Alior Bank Spółka Akcyjna,13001065,"Warszawa, ul. Łopuszańska 38D, 02-232"
BNP Paribas Bank Polska Spółka Akcyjna,16000003,"Warszawa, ul. Marcina Kasprzaka 2, 01-211"
Bank Spółdzielczy w Leżajsku,91871011,"Kuryłówka, Kuryłówka 530, 37-303"
Société Générale Spółka Akcyjna Oddział w Polsce,18400007,"Warszawa, ul. Marszałkowska 111, 00-102"
Bank Polska Kasa Opieki Spółka Akcyjna,12405888,"Sokółka, ul. marsz. Józefa Piłsudskiego 5, 16-100"
ING Bank Śląski Spółka Akcyjna,10500435,"Katowice, ul. Chorzowska 50, 40-101"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204405,"Rzeszów, ul. Grunwaldzka 17, 35-068"
ING Bank Śląski Spółka Akcyjna,10500259,"Katowice, ul. Chorzowska 50, 40-101"
Bank Polska Kasa Opieki Spółka Akcyjna,12402311,"Krosno, ul. Powstańców Warszawskich 3, 38-400"
Gospodarczy Bank Spółdzielczy w Barlinku,83550009,"Barlinek, ul. Strzelecka 2, 74-320"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200162,"Sosnowiec, ul. Jana Kilińskiego 20, 41-200"
Bank Spółdzielczy w Reszlu,88511047,"Kętrzyn, ul. gen. Władysława Sikorskiego 48, 11-400"
Bank Spółdzielczy w Parczewie,80420006,"Parczew, ul. Kościelna 27, 21-200"
BNP Paribas Bank Polska Spółka Akcyjna,17501093,"Łódź, al. Marszałka Edwarda Śmigłego-Rydza 20, 93-281"
DNB Bank Polska Spółka Akcyjna,13701284,"Warszawa, ul. Postępu 15C, 02-676"
mBank Spółka Akcyjna,11401993,"Kalisz, ul. Fryderyka Chopina 9, 62-800"
Bank Spółdzielczy w Skierniewicach,92970005,"Skierniewice, ul. Reymonta 25, 96-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12403943,"Police, ul. Bankowa 22, 72-010"
BNP Paribas Bank Polska Spółka Akcyjna,17501077,"Szczecin, al. Papieża Jana Pawła II 3/4, 70-413"
Bank Spółdzielczy w Chojnie,93701046,"Moryń, ul. Stefana Żeromskiego 9, 74-503"
ING Bank Śląski Spółka Akcyjna,10500190,"Katowice, ul. Chorzowska 50, 41-101"
ING Bank Śląski Spółka Akcyjna,10500288,"Katowice, ul. Chorzowska 50, 40-101"
Bank Polska Kasa Opieki Spółka Akcyjna,12401444,"Kraków, ul. Kapelanka 1, 30-347"
Bank Spółdzielczy w Radomyślu Wielkim,94790009,"Radomyśl Wielki, ul. Krótka 2, 39-310"
Bank Polska Kasa Opieki Spółka Akcyjna,12406739,"Wrocław, ul. Wałbrzyska 24, 52-314"
Santander Bank Polska Spółka Akcyjna,15001038,"Łódź, ul. Adwokacka 2, 91-305"
"Bank Spółdzielczy ""MAZOWSZE"" w Płocku",90421042,"Brudzeń Duży, Brudzeń 13, 09-414"
Alior Bank Spółka Akcyjna,10600135,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Dąbrowie Tarnowskiej,94621013,"Gręboszów, Gręboszów 149, 33-260"
Santander Bank Polska Spółka Akcyjna,10901043,"Warszawa, Aleja Jana Pawła II 35, 00-899"
Bank Polska Kasa Opieki Spółka Akcyjna,12403985,"Trzebiatów, ul. Wojska Polskiego 51, 72-320"
Bank Spółdzielczy w Kolnie,87540004,"Kolno, ul. Kolejowa 2, 18-500"
Polski Bank Spółdzielczy w Wyszkowie,89310003,"Wyszków, ul. Kościuszki 5, 07-200"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203440,"Zgierz, pl. Kilińskiego 11, 95-100"
Spółdzielczy Bank Ludowy w Kępnie,84131010,"Perzów, Perzów 85, 63-642"
Bank Polska Kasa Opieki Spółka Akcyjna,12402106,"Warszawa, ul. Żubra 1, 01-066"
Mazurski Bank Spółdzielczy w Giżycku,93431015,"Ryn, ul. Kopernika 22, 11-520"
Bank Spółdzielczy w Zaleszanach,94390007,"Zaleszany, Plac Kościuszki 1, 37-415"
Santander Bank Polska Spółka Akcyjna,10901186,"Katowice, ul. Wita Stwosza 2, 40-036"
mBank Spółka Akcyjna,11401746,"Olsztyn, ul. Piłsudskiego 44A, 10-450"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401273,"Lublin, ul. Krakowskie Przedmieście 60, 20-002"
Santander Bank Polska Spółka Akcyjna,10901476,"Poznań, pl. Generała Władysława Andersa 5, 61-894"
Bank Polska Kasa Opieki Spółka Akcyjna,12401574,"Nowy Targ, al. Tysiąclecia 35A, 34-400"
Gospodarczy Bank Spółdzielczy Radków z/s w Nowej Rudzie,95360001,"Nowa Ruda, ul. Radkowska 4, 57-402"
Bank Polska Kasa Opieki Spółka Akcyjna,12401688,"Prudnik, ul. Damrota 10A, 48-200"
Santander Bank Polska Spółka Akcyjna,15001083,"Białystok, ul. Adama Mickiewicza 50, 15-232"
Credit Agricole Bank Polska Spółka Akcyjna,19401180,"Wrocław, pl. Orląt Lwowskich 1, 53-605"
Bank Polska Kasa Opieki Spółka Akcyjna,12403318,"Pabianice, ul. Zamkowa 7, 95-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12403523,"Gdynia, ul. Śląska 23/25, 81-319"
BNP Paribas Bank Polska Spółka Akcyjna,16001390,"Poznań, ul. Święty Marcin 71, 61-808"
Bank Polska Kasa Opieki Spółka Akcyjna,12403376,"Ełk, Słowackiego 16, 19-300"
Ludowy Bank Spółdzielczy w Obornikach,90550003,"Oborniki, ul. Powstańców Wielkopolskich 5, 64-600"
Bank Polska Kasa Opieki Spółka Akcyjna,12402034,"Warszawa, ul. Górczewska 137, 01-459"
Bank Spółdzielczy w Oleśnicy,95841021,"Długołęka, ul. Robotnicza 14, 55-095"
Nadobrzański Bank Spółdzielczy w Rakoniewicach,90811029,"Zbąszyń, ul. Mostowa 10D, 64-360"
Bank Spółdzielczy w Skoczowie,81261017,"Strumień, ul. Pocztowa 5, 43-246"
Bank Spółdzielczy w Lubaczowie,91011042,"Cieszanów, ul. Mickiewicza 1, 37-611"
Bank Spółdzielczy w Końskich,85110003,"Radoszyce, ul. 1 Maja 2, 26-230"
Powiatowy Bank Spółdzielczy w Gostyniu,86780005,"Gostyń, ul. 1 Maja 18, 63-800"
mBank Spółka Akcyjna,11402075,"Nowy Sącz, ul. Prażmowskiego 11, 33-300"
Bank Spółdzielczy w Niemcach,87320000,"Kurów, ul. Lubelska 9, 24-170"
BNP Paribas Bank Polska Spółka Akcyjna,16001299,"Bielsko-Biała, ul. Cyniarska 6, 43-300"
Bank Spółdzielczy w Kolbuszowej,91801018,"Majdan Królewski, ul. Rynek 1, 36-110"
POZNAŃSKI BANK SPÓŁDZIELCZY,90431067,"Tarnowo Podgórne, ul. Szkolna 1C, 62-080"
DNB Bank Polska Spółka Akcyjna,13701183,"Warszawa, ul. Postępu 15C, 02-676"
Bank Spółdzielczy w Wolinie,93931023,"Płoty, ul. Grunwaldzka 2, 72-310"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201954,"Gorzów Wielkopolski, ul. Adama Mickiewicza 7A, 66-400"
Bank Ochrony Środowiska Spółka Akcyjna,15401043,"Koszalin, ul. Zwycięstwa 42, 75-021"
Bank Spółdzielczy w Oleśnicy,95841092,"Siechnice, ul. Jana Pawła II 27B, 55-011"
Bank Spółdzielczy w Krośnie Odrzańskim,96560008,"Krosno Odrzańskie, ul. Zamkowa 3, 66-600"
Bank Polska Kasa Opieki Spółka Akcyjna,12404953,"Klucze, ul. Zawierciańska 10, 32-310"
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,92881011,"Bielawy, ul. Rynek 1, 99-423"
Bank Spółdzielczy we Włoszczowie,85250002,"Włoszczowa, ul. Partyzantów 5, 29-100"
Bank Ochrony Środowiska Spółka Akcyjna,15401245,"Łódź, ul. Piotrkowska 166/168, 90-368"
PLUS BANK Spółka Akcyjna,16801206,"Warszawa, Aleja Stanów Zjednoczonych 61A, 04-028"
Pobiedzisko - Gośliński Bank Spółdzielczy w Pobiedziskach,90440001,"Pobiedziska, ul. Tysiąclecia 15, 62-010"
BANK POLSKIEJ SPÓŁDZIELCZOŚCI SPÓŁKA AKCYJNA,19301552,"Gdynia, ul. Świętojańska 23, 81-372"
Bank Polska Kasa Opieki Spółka Akcyjna,12402858,"Dęblin, ul. PCK 3, 08-530"
Spółdzielczy Bank Ludowy w Kępnie,84131081,"Łubnice, ul. Sikorskiego 102, 98-432"
Bank Polska Kasa Opieki Spółka Akcyjna,12405820,"Chojnice, ul. Sukienników 5, 89-600"
mBank Spółka Akcyjna,11402121,"Łódź, ul. Piłsudskiego 3, 90-368"
Bank Spółdzielczy w Reszlu,88511018,"Korsze, ul. Mickiewicza 2, 11-430"
Bank Polska Kasa Opieki Spółka Akcyjna,12401385,"Ostrowiec Świętokrzyski, ul. Kilińskiego 15, 27-400"
Bank Spółdzielczy w Tarnobrzegu,94341083,"Nowa Dęba, ul. Rzeszowska 3, 39-460"
Bank Spółdzielczy w Nowym Sączu,88100007,"Nawojowa, Nawojowa 99, 33-335"
Bank Spółdzielczy w Pleszewie,84070003,"Pleszew, ul. Kraszewskiego 11, 63-300"
Bank Spółdzielczy w Jastrowiu,89350009,"Jastrowie, ul. Poznańska 53, 64-915"
ING Bank Śląski Spółka Akcyjna,10501924,"Pruszków, ul. Ołówkowa 1d, 05-800"
Bank Spółdzielczy w Kowalu,95571029,"Lubień Kujawski, ul. Kościuszki 2A, 87-840"
ING Bank Śląski Spółka Akcyjna,10501836,"Dębica, ul. Rynek 27, 39-200"
Bank Spółdzielczy w Brzeźnicy,81120008,"Brzeźnica, ul. Kalwaryjska 5, 34-114"
Bank Spółdzielczy w Tarnobrzegu,94341025,"Nisko, ul. Wolności 1, 37-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12406872,"Rogoźno, ul. Kościuszki 37, 64-610"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401228,"Olsztyn, ul. Walentego Barczewskiego 1, 10-061"
Bank Spółdzielczy w Szydłowie,85211016,"Raków, Plac Wolności 30, 26-035"
ING Bank Śląski Spółka Akcyjna,10501096,"Ustroń, ul. Ignacego Daszyńskiego 6, 43-450"
Spółdzielczy Bank Ludowy w Kępnie,84130000,"Kępno, ul. Ks.P.Wawrzyniaka 20, 63-600"
Bank Spółdzielczy w Żurawicy,91130004,"Żurawica, ul. Bankowa 4, 37-710"
Bank Spółdzielczy w Tyczynie,91640008,"Tyczyn, ul. Mickiewicza 6, 36-020"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10205011,"Toruń, ul. Grudziądzka 4, 87-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12404676,"Kraków, ul. Bora-Komorowskiego 25d, 31-476"
Santander Bank Polska Spółka Akcyjna,15002178,"Nowy Targ, ul. Królowej Jadwigi 17, 34-403"
Nest Bank Spółka Akcyjna,18701045,"Warszawa, ul. Domaniewska 39A, 02-672"
Bank Polska Kasa Opieki Spółka Akcyjna,12401255,"Gdańsk, ul. Grunwaldzka 92/98, 80-244"
"Bank Spółdzielczy ""MAZOWSZE"" w Płocku",90421068,"Drobin, ul. Spółdzielcza 8/1, 09-210"
Santander Bank Polska Spółka Akcyjna,10902620,"Starogard Gdański, ul. Hallera 16, 83-200"
Bank Spółdzielczy w Janowie Lubelskim,94101049,"Potok Wielki, Potok Wielki 125, 23-313"
ING Bank Śląski Spółka Akcyjna,10501012,"Legionowo, ul. Handlowa 14, 05-120"
mBank Spółka Akcyjna,11402105,"Warszawa, Al. Jerozolimskie 174, 02-486"
Bank Polska Kasa Opieki Spółka Akcyjna,12402249,"Włodawa, al. Józefa Piłsudskiego 53, 22-200"
Bank Spółdzielczy w Wolinie,93931010,"Lipiany, ul. Jedności Narodowej 50, 74-240"
Bank Spółdzielczy w Bydgoszczy,81421062,"Dobrcz, ul. Długa 45A, 86-022"
Bank Spółdzielczy w Kruszwicy,81510001,"Kruszwica, ul. Podgórna 2, 88-150"
Santander Bank Polska Spółka Akcyjna,10901681,"Świebodzice, Al. Lipowe 5, 58-160"
Bank Spółdzielczy w Żywcu,81370009,"Żywiec, Rynek 23, 34-300"
Bank Spółdzielczy w Krotoszynie,84101039,"Kobylin, ul. Powstańców Wielkopolskich 39, 63-740"
Narodowy Bank Polski,10101049,"Białystok, ul. Piękna 1, 15-282"
Santander Bank Polska Spółka Akcyjna,15002208,"Łuków, ul. Staropijarska 3, 21-400"
Bank Spółdzielczy w Jastrzębiu-Zdroju,84700001,"Jastrzębie-Zdrój, ul. 1 Maja 10, 44-330"
Bank Polska Kasa Opieki Spółka Akcyjna,12401822,"Sochaczew, ul. 1 Maja 19, 96-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12401532,"Łomża, Aleja Legionów 5, 18-400"
Bank Spółdzielczy w Skórczu,83410000,"Lubichowo, ul. Starogardzka 9, 83-240"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401345,"Gdańsk, ul. Rajska 8, 80-890"
Bank Spółdzielczy w Krzywdzie,92030002,"Krzywda, ul. Łukowska 39, 21-470"
Pomorski Bank Spółdzielczy w Świdwinie,85810004,"Świdwin, ul. Niedziałkowskiego 5, 78-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12403611,"Strzelce Krajeńskie, ul. Sienkiewicza 5, 66-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12405107,"Niepołomice, Rynek 16, 32-005"
Bank Spółdzielczy w Szczytnie,88381028,"Świętajno, ul. Parkowa 9, 12-140"
Bank Spółdzielczy w Jordanowie,87990001,"Jordanów, ul. Rynek 44, 34-240"
BNP Paribas Bank Polska Spółka Akcyjna,16001013,"Kraków, ul. Lubicz 23, 31-503"
Bank Polska Kasa Opieki Spółka Akcyjna,12404243,"Krzeszowice, Rynek 34, 32-065"
Bank Spółdzielczy w Trzebnicy,95910004,"Trzebnica, ul. Prusicka 1, 55-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12405976,"Warszawa, ul. Krakowskie Przedmieście 1, 00-047"
Łódzki Bank Spółdzielczy,89651018,"Zelów, ul. Kościuszki 44, 97-425"
Bank Polska Kasa Opieki Spółka Akcyjna,12401473,"Legnica, ul. Wrocławska 26/28, 59-220"
Bank Polska Kasa Opieki Spółka Akcyjna,12403565,"Międzychód, ul. 17 Stycznia 74, 64-400"
Bank Spółdzielczy w Leśnicy,89071021,"Ujazd, ul. 3 Maja 14, 47-143"
Bank Spółdzielczy w Ostrowcu Świętokrzyskim,85071027,"Waśniów, ul. Zielona 3, 27-425"
Bank Spółdzielczy Daleszyce-Górno,84851022,"Bieliny, ul. Partyzantów 17, 26-004"
Santander Bank Polska Spółka Akcyjna,10902066,"Legnica, ul. Gwarna 4A, 59-220"
Bank Spółdzielczy w Czersku,81470002,"Czersk, ul. Dr Zielińskiego 4, 89-650"
Spółdzielczy Bank Ludowy w Kępnie,84131052,"Trzcinica, ul. Jana Pawła II 47B, 63-620"
Santander Bank Polska Spółka Akcyjna,15002165,"Busko-Zdrój, ul. Partyzantów 21, 28-100"
Currency One Spółka Akcyjna,60700003,"Poznań, ul. Szyperska 14, 61-754"
mBank Spółka Akcyjna,11401182,"Olsztyn, ul. Piłsudskiego 44A, 10-450"
Bank Spółdzielczy w Brańsku,80630001,"Brańsk, ul. Kościuszki 2A, 17-120"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401231,"Łódź, al. Ks. Kardynała Stefana Wyszyńskiego 29, 94-048"
Polski Bank Spółdzielczy w Poznaniu,82130008,"Poznań, ul. Garbary 71, 61-866"
Bank Polska Kasa Opieki Spółka Akcyjna,12401936,"Toruń, ul. Grudziądzka 29, 87-100"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401097,"Gdańsk, ul. Heweliusza 11, 80-890"
Częstochowski Bank Spółdzielczy JURA BANK,82670009,"Żytno, ul. M.Konopnickiej 95, 97-532"
Bank BPH Spółka Akcyjna,10600005,"Gdańsk, ul. Cypriana Kamila Norwida 1, 80-280"
Bank Polska Kasa Opieki Spółka Akcyjna,12403291,"Wieluń, pl. Kazimierza Wielkiego 3, 98-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12401284,"Gorzów Wielkopolski, ul. Fabryczna 12, 66-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12401330,"Katowice, ul. Chorzowska 1, 40-121"
Bank Spółdzielczy w Malborku,83030006,"Malbork, ul. 17 Marca 32, 82-200"
Bank Spółdzielczy w Iławie,88311012,"Ostróda, ul. Jana Pawła II 16/49, 14-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12402744,"Tarnobrzeg, ul. Józefa Piłsudskiego 8, 39-400"
DNB Bank Polska Spółka Akcyjna,13701141,"Warszawa, ul. Postępu 15C, 22-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12406016,"Warszawa, ul. Marszałkowska 89, 00-693"
Alior Bank Spółka Akcyjna,10600308,"Warszawa, ul. Łopuszańska 38D, 02-232"
BNP Paribas Bank Polska Spółka Akcyjna,23400025,"Warszawa, ul. Mokotowska 19, 00-560"
Bank Spółdzielczy w Radzyniu Podlaskim,80461038,"Ostrówek, Ostrówek 23, 21-102"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201879,"Kościerzyna, ul. Mazurka Dąbrowskiego 1, 83-400"
mBank Spółka Akcyjna,11401166,"Łódź, ul. Piotrkowska 148/150, 90-063"
BNP Paribas S.A. Oddział w Polsce ,24300007,"Warszawa, ul. Wronia 31, 00-846"
Bank Spółdzielczy w Nowym Targu,88121015,"Niedzica, ul. 3 Maja 51, 34-441"
Santander Bank Polska Spółka Akcyjna,10901825,"Tarnowskie Góry, ul. Bytomska 1, 42-600"
Bank Polska Kasa Opieki Spółka Akcyjna,12401675,"Nysa, ul. Marcinkowskiego 1, 48-300"
Powiatowy Bank Spółdzielczy w Tomaszowie Mazowieckim,89851014,"Wolbórz, pl. Władysława Jagiełły 15, 97-320"
Santander Bank Polska Spółka Akcyjna,10902284,"Bielawa, ul. 1 Maja 34, 58-260"
Bank Spółdzielczy w Janowie Lubelskim,94101023,"Godziszów, Godziszów III 121, 23-302"
Bank Spółdzielczy w Pajęcznie,82651011,"Strzelce Wielkie, ul. Częstochowska 14, 98-337"
ING Bank Śląski Spółka Akcyjna,10501474,"Zakopane, ul. Jagiellońska 23, 34-500"
Bank Polska Kasa Opieki Spółka Akcyjna,12402568,"Przemyśl, ul. Mickiewicza 6, 37-700"
Bank Polska Kasa Opieki Spółka Akcyjna,12406188,"Warszawa, ul. Tadeusza Czackiego 21/23, 00-950"
BNP Paribas Bank Polska Spółka Akcyjna,17501110,"Kielce, ul. Henryka Sienkiewicza 47, 25-005"
"Spółdzielcza Kasa Oszczędnościowo-Kredytowa ""Świdnik""",71890005,"Zamość, ul. Stefana Żeromskiego 25, 22-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12406902,"Śrem, ul. Przemysłowa 1, 63-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12404520,"Myślenice, ul. Konstantego Ildefonsa Gałczyńskiego 9, 32-400"
Bank Spółdzielczy w Lubrańcu,95591027,"Izbica Kujawska, ul. Narutowicza 3A, 87-865"
Bank Polska Kasa Opieki Spółka Akcyjna,12403464,"Wrocław, ul. Ruska 51A, 50-079"
Bank Spółdzielczy w Brodnicy,94841017,"Chełmża, pl. Rynek 2, 87-140"
POZNAŃSKI BANK SPÓŁDZIELCZY,90431054,"Suchy Las, ul. Szkolna 16, 62-002"
Bank Spółdzielczy w Przeworsku,91060008,"Przeworsk, ul. Krakowska 11, 37-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12405934,"Warszawa, ul. Towarowa 25, 00-958"
Bank Spółdzielczy w Osiu,81691029,"Drzycim, ul. Dworcowa 8, 86-140"
Bank Polska Kasa Opieki Spółka Akcyjna,12404810,"Dębica, ul. Kościuszki 6, 39-200"
Bank Spółdzielczy w Białej Podlaskiej,80251033,"Hanna, ul. Dworska 1, 22-220"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201156,"Warszawa, ul. Leona Kruczkowskiego 6, 00-412"
